"timestamp","destination_port","Count"
"2021-01-04",502,312
"2021-01-04",102,13
"2021-01-05",102,29
"2021-01-05",502,18
"2021-01-06",502,325
"2021-01-06",102,27
"2021-01-07",102,30
"2021-01-07",502,12
"2021-01-08",502,13
"2021-01-08",102,12
"2021-01-09",102,17
"2021-01-09",502,10
"2021-01-10",102,13
"2021-01-10",502,9
"2021-01-11",102,15
"2021-01-11",502,10
"2021-01-12",102,19
"2021-01-12",502,15
"2021-01-13",102,25
"2021-01-13",502,24
"2021-01-14",102,69
"2021-01-14",502,23
"2021-01-15",502,180
"2021-01-15",102,27
"2021-01-16",102,13
"2021-01-16",502,8
"2021-01-17",102,23
"2021-01-17",502,11
"2021-01-18",502,96
"2021-01-18",102,12
"2021-01-19",102,17
"2021-01-19",502,16
"2021-01-20",102,15
"2021-01-20",502,13
"2021-01-21",102,18
"2021-01-21",502,15
"2021-01-22",102,6
"2021-01-22",502,3
"2021-01-23",502,31
"2021-01-23",102,21
"2021-01-24",102,88
"2021-01-24",502,7
"2021-01-25",102,"6256"
"2021-01-25",502,175
"2021-01-26",102,16
"2021-01-26",502,12
"2021-01-27",102,23
"2021-01-27",502,15
"2021-01-28",102,16
"2021-01-28",502,11
"2021-01-29",102,15
"2021-01-29",502,15
"2021-01-30",502,73
"2021-01-30",102,46
"2021-01-31",502,59
"2021-01-31",102,16
"2021-02-01",102,16
"2021-02-01",502,13
"2021-02-02",102,27
"2021-02-02",502,9
"2021-02-03",102,18
"2021-02-03",502,17
"2021-02-04",502,38
"2021-02-04",102,20
"2021-02-05",502,72
"2021-02-05",102,6
