Label,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Nan
192.168.1.7-192.168.1.4-38598-102-6,192.168.1.7,38598,192.168.1.4,102,6,04/01/2021 05:57:25 PM,1236,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3236.245954692557,412.0,337.47148027648205,799.0,179.0,1236.0,618.0,509.11688245431424,978.0,258.0,0,0,0,0,0,0,0,0,0,104,40,2427.184466019418,809.0614886731393,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,0,32,0,0,0,0,1.609779445330084E15,0.0,1.609779445330084E15,1.609779445330084E15,NeedManualLabel
192.168.1.7-192.168.1.4-38602-102-6,192.168.1.7,38602,192.168.1.4,102,6,04/01/2021 05:57:25 PM,1632,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2450.9803921568628,544.0,784.9515908640482,1444.0,1.0,1632.0,816.0,1152.5840533340725,1631.0,1.0,0,0,0,0,0,0,0,0,0,104,40,1838.235294117647,612.7450980392157,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,0,32,0,0,0,0,1.609779445335592E15,0.0,1.609779445335592E15,1.609779445335592E15,NeedManualLabel
198.199.98.246-192.168.1.4-53534-102-6,198.199.98.246,53534,192.168.1.4,102,6,04/01/2021 06:07:11 PM,198942,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.10636265846327,66314.0,114366.49121574029,198373.0,186.0,198942.0,99471.0,140131.59346842524,198559.0,383.0,0,0,0,0,0,0,0,0,0,104,40,15.079771993847453,5.026590664615817,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,14600,65160,0,32,0,0,0,0,1.609780031502109E15,0.0,1.609780031502109E15,1.609780031502109E15,NeedManualLabel
198.199.98.246-192.168.1.4-57026-502-6,198.199.98.246,57026,192.168.1.4,502,6,04/01/2021 06:07:18 PM,196600,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.345879959308242,65533.33333333333,112841.95913902477,195832.0,355.0,196600.0,98300.0,138515.1473666328,196245.0,355.0,0,0,0,0,0,0,0,0,0,104,40,15.25940996948118,5.0864699898270604,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,14600,65160,0,32,0,0,0,0,1.609780038885675E15,0.0,1.609780038885675E15,1.609780038885675E15,NeedManualLabel
198.199.98.246-192.168.1.4-55236-102-6,198.199.98.246,55236,192.168.1.4,102,6,04/01/2021 06:13:14 PM,198513,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.149813866094412,66171.0,113939.71066752802,197737.0,168.0,198513.0,99256.5,139510.04660776226,197905.0,608.0,0,0,0,0,0,0,0,0,0,104,40,15.11236039957081,5.037453466523603,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,14600,65160,0,32,0,0,0,0,1.609780394132667E15,0.0,1.609780394132667E15,1.609780394132667E15,NeedManualLabel
198.199.98.246-192.168.1.4-58702-502-6,198.199.98.246,58702,192.168.1.4,502,6,04/01/2021 06:13:18 PM,196359,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.370851348804994,65453.0,112696.7524066244,195584.0,376.0,196359.0,98179.5,138315.036147557,195983.0,376.0,0,0,0,0,0,0,0,0,0,104,40,15.278138511603746,5.0927128372012485,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,14600,65160,0,32,0,0,0,0,1.609780398872912E15,0.0,1.609780398872912E15,1.609780398872912E15,NeedManualLabel
198.199.98.246-192.168.1.4-57601-502-6,198.199.98.246,57601,192.168.1.4,502,6,04/01/2021 06:28:33 PM,195894,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.419206305450906,65298.0,112326.95901251845,195002.0,443.0,195894.0,97947.0,137891.47918562626,195451.0,443.0,0,0,0,0,0,0,0,0,0,104,40,15.31440472908818,5.104801576362727,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,14600,65160,0,32,0,0,0,0,1.609781313778546E15,0.0,1.609781313778546E15,1.609781313778546E15,NeedManualLabel
45.32.9.1-192.168.1.4-57148-502-6,45.32.9.1,57148,192.168.1.4,502,6,04/01/2021 06:29:33 PM,272782,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.663724146021364,90927.33333333334,156980.68583215366,272193.0,229.0,272782.0,136391.0,192562.14707984537,272553.0,229.0,0,0,0,0,0,0,0,0,0,104,40,10.997793109516023,3.665931036505341,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,65160,0,32,0,0,0,0,1.609781373589434E15,0.0,1.609781373589434E15,1.609781373589434E15,NeedManualLabel
45.32.9.1-192.168.1.4-57150-502-6,45.32.9.1,57150,192.168.1.4,502,6,04/01/2021 06:29:35 PM,267208,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.969611688272806,89069.33333333334,153770.32619245278,266628.0,234.0,267208.0,133604.0,188613.6628136997,266974.0,234.0,0,0,0,0,0,0,0,0,0,104,40,11.227208766204605,3.7424029220682016,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,65160,0,32,0,0,0,0,1.609781375193046E15,0.0,1.609781375193046E15,1.609781375193046E15,NeedManualLabel
45.32.9.1-192.168.1.4-57156-502-6,45.32.9.1,57156,192.168.1.4,502,6,04/01/2021 06:29:40 PM,266953,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.983911025536331,88984.33333333334,153628.30033992216,266379.0,225.0,266953.0,133476.5,188446.07850655846,266728.0,225.0,0,0,0,0,0,0,0,0,0,104,40,11.237933269152247,3.745977756384083,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,29200,65160,0,32,0,0,0,0,1.609781380520012E15,0.0,1.609781380520012E15,1.609781380520012E15,NeedManualLabel
